# Region type : patch outlet
# Faces         : 4
# Area          : 1.00000000e-02
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(T)
230             	7.15595947e-01
230.5           	7.16956191e-01
231             	7.18306158e-01
231.5           	7.19646011e-01
232             	7.20975906e-01
232.5           	7.22295997e-01
233             	7.23606436e-01
233.5           	7.24907369e-01
234             	7.26198943e-01
234.5           	7.27481297e-01
235             	7.28754571e-01
235.5           	7.30018901e-01
236             	7.31274418e-01
236.5           	7.32521252e-01
237             	7.33759531e-01
237.5           	7.34989379e-01
238             	7.36210917e-01
238.5           	7.37424264e-01
239             	7.38629537e-01
239.5           	7.39826848e-01
240             	7.41016310e-01
240.5           	7.42198030e-01
241             	7.43372116e-01
241.5           	7.44538671e-01
242             	7.45697796e-01
242.5           	7.46849592e-01
243             	7.47994155e-01
243.5           	7.49131581e-01
244             	7.50261961e-01
244.5           	7.51385388e-01
245             	7.52501948e-01
245.5           	7.53611730e-01
246             	7.54714818e-01
246.5           	7.55811294e-01
247             	7.56901239e-01
247.5           	7.57984733e-01
248             	7.59061853e-01
248.5           	7.60132673e-01
249             	7.61197269e-01
249.5           	7.62255711e-01
250             	7.63308071e-01
250.5           	7.64354416e-01
251             	7.65394815e-01
251.5           	7.66429333e-01
252             	7.67458034e-01
252.5           	7.68480981e-01
253             	7.69498235e-01
253.5           	7.70509856e-01
254             	7.71515903e-01
254.5           	7.72516433e-01
255             	7.73511502e-01
255.5           	7.74501165e-01
256             	7.75485474e-01
256.5           	7.76464483e-01
257             	7.77438243e-01
257.5           	7.78406803e-01
258             	7.79370213e-01
258.5           	7.80328521e-01
259             	7.81281772e-01
259.5           	7.82230015e-01
260             	7.83173292e-01
260.5           	7.84111648e-01
261             	7.85045127e-01
261.5           	7.85973770e-01
262             	7.86897618e-01
262.5           	7.87816713e-01
263             	7.88731094e-01
263.5           	7.89640799e-01
264             	7.90545867e-01
264.5           	7.91446335e-01
265             	7.92342240e-01
265.5           	7.93233618e-01
266             	7.94120504e-01
266.5           	7.95002934e-01
267             	7.95880940e-01
267.5           	7.96754557e-01
268             	7.97623817e-01
268.5           	7.98488753e-01
269             	7.99349397e-01
269.5           	8.00205780e-01
270             	8.01057932e-01
270.5           	8.01905885e-01
271             	8.02749668e-01
271.5           	8.03589310e-01
272             	8.04424840e-01
272.5           	8.05256288e-01
273             	8.06083680e-01
273.5           	8.06907046e-01
274             	8.07726411e-01
274.5           	8.08541805e-01
275             	8.09353252e-01
275.5           	8.10160780e-01
276             	8.10964414e-01
276.5           	8.11764181e-01
277             	8.12560106e-01
277.5           	8.13352214e-01
